Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19,20
Case2,1.3744467859455345,0.4908738521234052,0.9326603264850504,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9701697617663178+1.3877787807814457e-17j),(-0.143911082304073+0j),(0.1950903220161282-1.0490522444868438e-17j),(0.9655393099922271-4.826937797676207e-19j),(-0.137785044694117+2.0977850068132227e-18j),(0.22079203409175302+3.419974923837078e-18j),(0.9461669297166548-2.7755575615628915e-18j),(-0.17296694779278066+0j),(0.26122578671101454-1.3156827409430182e-17j),0.030152625297254987,0.036458207615778115,1.3057244466482578,1.3891730074697013,0.9975742885136464
Case2,1.2762720155208536,0.4908738521234052,0.88357294127271,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9385529969012233-1.3877787807814457e-17j),(-0.18668979125545365+0j),(0.29028467725446244-1.043533756414845e-17j),(0.9439463223859029-7.591572051633017e-19j),(-0.17476055689417938+2.713921727294084e-18j),(0.28004301135390847+4.252525776659298e-18j),(0.9448979409140829-4.625929269271485e-18j),(-0.1752540883698928+0j),(0.26606893513492247-1.2703245768549892e-17j),0.021753347493662922,0.027564234130219772,1.3008157081270237,1.386718638457437,0.9999616844382601
Case2,1.3008157081270237,4.663301595172349,2.982058659100267,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9428788681387045-2.7755575615628914e-17j),(-0.19960898030302093+0j),(0.26671275747489837+1.586044499084387e-17j),(0.9470028390695567-7.212179218225944e-19j),(-0.17006260403312037+2.633710902051937e-18j),(0.2725148317131998+4.149833411699909e-18j),(0.9446095019461717-7.93016446160826e-18j),(-0.178733358646054+0j),(0.2661609097549191-8.622718517207926e-18j),0.02135837548600744,0.039472429951252025,1.3008157081270237,1.3832123968339505,0.9998006042058966
Case2,1.1290098598838318,0.4908738521234052,0.809941863454199,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.8712432462440886-1.3877787807814457e-17j),(-0.24110547060546988+0j),(0.42755509343028225+3.497923761201032e-17j),(0.8666397119854586-1.5922881056696164e-18j),(-0.2641452119390886+4.374891106590726e-18j),(0.42327640687784096+5.9902857864411984e-18j),(0.9354387199834113-8.673617379884035e-18j),(-0.18652987264098098+0j),(0.28633518271433944-3.1724740010556456e-18j),0.019247905287513745,0.031921953857046464,1.2793399770966247,1.3729128116769072,0.9925264875864201
Case2,1.1535535524900022,4.663301595172349,2.9084275812817566,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.8780349524222267-2.7755575615628914e-17j),(-0.2546254106494624+0j),(0.40524131400498986+2.4186896267808023e-17j),(0.8796508918809884-1.4686775555601953e-18j),(-0.25180205233795405+4.1282313459951445e-18j),(0.4034972550729135+5.77803347549483e-18j),(0.9290605235877241-1.0793834961633465e-17j),(-0.19409604353081222+0j),(0.29954697507996725-1.3254397118190463e-19j),0.04640406493866006,0.006183365141323727,1.265363707695889,1.3635384847433087,0.9937589711634578
Case2,1.2026409377023426,4.663301595172349,2.9329712738879268,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9021820858991326+0j),(-0.2377878183594975+0j),(0.3598950365349883+2.1866986193579385e-17j),(0.9081875403245816-1.1743410896614113e-18j),(-0.22159531232048046+3.549556834519174e-18j),(0.3550928176643048+5.2185992193683786e-18j),(0.926372679818865-9.71445146547012e-18j),(-0.19846522101368078+0j),(0.30558178122546936+2.0674090452942243e-18j),0.05949589233588984,0.027000187828586986,1.2590914306965344,1.3584933924570468,0.9972167818422394
Case2,1.325359400733194,0.4908738521234052,0.9081166264282996,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9557501061911104-1.3877787807814457e-17j),(-0.16583837520266115+0j),(0.24298017990326382+2.691892848705185e-17j),(0.9478864277768169-7.101773541501866e-19j),(-0.16867723275837615+2.6101716273216427e-18j),(0.27029485970969164+4.119368025090597e-18j),(0.9290433549436147-1.0092936587501423e-17j),(-0.1954991441217699+0j),(0.2998907265598143+4.326638085454008e-18j),0.048168085653574194,0.03801721577643641,1.265115791608958,1.3621749457383794,0.9995114984219711
Case2,1.2762720155208536,0.4908738521234052,0.88357294127271,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9385529969012233-1.3877787807814457e-17j),(-0.18668979125545365+0j),(0.29028467725446244-1.043533756414845e-17j),(0.9409825926889945-7.955718280917744e-19j),(-0.17918436562810264+2.790008747718157e-18j),(0.2871318919429749+4.3483333759135994e-18j),(0.9298358251067486-1.0408340855860843e-17j),(-0.19476503138291018+0j),(0.29909022245103495+3.0964734479871367e-18j),0.04584099864280122,0.013087815110321699,1.2660454769349492,1.3631975997098573,0.9999616844382601
Case2,1.3744467859455345,0.4908738521234052,0.9326603264850504,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9701697617663178+1.3877787807814457e-17j),(-0.143911082304073+0j),(0.1950903220161282-1.0490522444868438e-17j),(0.9675367927216506-4.56118634501397e-19j),(-0.1338000801135059+2.0333005438766526e-18j),(0.2144063741858468+3.3271741061823452e-18j),(0.9329384356190232-8.540177112501205e-18j),(-0.19085318914607657+0j),(0.2910902301098883+2.0513199177674774e-18j),0.03082655355254632,0.03206002956105955,1.2743840391665324,1.3678388750097494,0.9975742885136464
Case2,1.1535535524900022,4.663301595172349,2.9084275812817566,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.8780349524222267-2.7755575615628914e-17j),(-0.2546254106494624+0j),(0.40524131400498986+2.4186896267808023e-17j),(0.8774838031605982-1.489720706295335e-18j),(-0.25391250081406547+4.169967733659773e-18j),(0.40687911856122566+5.81502618011253e-18j),(0.9290167582478233-9.912705577010325e-18j),(-0.19540834782488983+0j),(0.2992438789595384+3.632432514198945e-18j),0.04745703845220964,0.002901868298024357,1.265753290118209,1.3621749460286616,0.9937589711634578
