Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19
Case1,2.2089323345553233,0.7853981633974483,0.2994330497952772,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.7102158527276908+2.7755575615628914e-17j),(-0.37514767913651015+0j),(-0.5956993044924334-1.9342476484928806e-17j),(0.6271290320510114+0j),(1.1905663892672729+0j),(0.564081851356136+0j),(0.5432337703868705+2.3129646346357427e-18j),(-0.5070476494353363+0j),(-0.5356923494331551+2.5293497719763225e-18j),0.414825619906597,2.1710941417874774,0.8219069070804489,0.9897991320629156
Case1,2.0371264863121317,1.030835089459151,0.3067961590672444,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.8690536092215496-1.3877787807814457e-17j),(-0.20638671600956932+0j),(-0.44961132965460676-5.067322575759665e-18j),(1.154148063728332+0j),(2.1865212291472194+0j),(0.9484779884274752+0j),(0.5562665639402576+1.6653345369377347e-18j),(-0.4950212120983057+0j),(-0.5322491086420132+2.225482878066883e-18j),0.3863231482250373,2.1657354355684637,0.8425358807382868,0.9835521384399918
Case1Fin,2.012582793705961,1.0799224746714913,0.3067961590672444,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.8690536092215496-1.3877787807814457e-17j),(-0.20638671600956932+0j),(-0.44961132965460676-5.067322575759665e-18j),(0.5562665639402576+1.6653345369377347e-18j),(-0.4950212120983057+0j),(-0.5322491086420132+2.225482878066883e-18j),(0.5562665639402576+1.6653345369377347e-18j),(-0.4950212120983057+0j),(-0.5322491086420132+2.225482878066883e-18j),0.3863231482250373,2.1657354355684637,0.8425358807382868,0.9855235925689163
Case2,0.14726215563702155,5.006913291658733,0.5154175462196916,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.10117661112712509-6.938893903907228e-18j),(-0.10626911825514537+0j),(0.9891765099647809-2.6651489530857005e-17j),(6.6671184554462215+0j),(2.8648778803855084+0j),(1.1755958841202714+0j),(-0.10117661112712509-6.938893903907228e-18j),(-0.10626911825514537+0j),(0.9891765099647809-2.6651489530857005e-17j),1.099368820040905,0.14726215563702155,5.522330837878425,0.8859309242118867
Case2,0.6381360077604268,5.006913291658733,0.5645049314320322,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.38909460758876546+0j),(-0.4510687837992267+0j),(0.8032075314806449-2.0897989578051074e-17j),(1.7040225539412235+0j),(0.7392724561249157+0j),(0.27811426071032563+0j),(-0.24513560935794526-3.469446951953614e-18j),(-0.27866895102718603+0j),(0.896192020722713-2.377473955445404e-17j),0.6900254997959763,0.39269908169872414,5.546874530484595,0.9759202133766413
Case2,1.1535535524900022,5.448699758569798,0.66022533110598,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.15850532775741127+0j),(-0.9003641143981834+0j),(0.40524131400498986-4.460845596943744e-19j),(3.5691869222849144+0j),(0.4189606427119666+0j),(1.63590512682748+0j),(-0.2162588488244339-2.3129646346357427e-18j),(-0.48590067215085186+0j),(0.7325417851501386-1.5998521222867483e-17j),0.633365188387544,0.6463172386291501,5.734224716881656,0.8432655355803271
Case2,0.4663301595172349,4.466952054322987,0.4933282213840222,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.4358675965966373+1.3877787807814457e-17j),(-0.11031675299270925+0j),(0.8932243011955154-2.106755751166078e-17j),(1.494119278263626+0j),(3.209823739789821+0j),(1.2896424033556404+0j),(-0.27116103576748474+1.734723475976807e-18j),(-0.3920046923613162+0j),(0.7727124141614827-1.7265780295065807e-17j),0.5247376506663016,0.6013204688511713,5.540738606587994,0.9631351371026168
Case2,0.4172427743048944,5.252350217720435,0.5669593006926491,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.18131212613813968-2.7755575615628914e-17j),(-0.3624174878393124+0j),(0.9142097557035307+1.3577712312366385e-17j),(3.56266551292399+0j),(0.9405651941776084+0j),(0.7556183374577922+0j),(-0.2531912538416157-4.163336342344338e-18j),(-0.3860872514569154+0j),(0.8010118824698923-1.109708177357937e-17j),0.5650894599961794,0.5645049299419159,5.5964527889530125,0.9306134283909949
Case2,0.3190680038802134,4.466952054322987,0.4786020073104362,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.30519349740345275-6.938893903907228e-18j),(-0.07247870999353018+0j),(0.9495281805930369+2.509160776589321e-18j),(2.135369681243038+0j),(4.40290868446071+0j),(0.40289887416720355+0j),(-0.2618582944352552-4.625929269271485e-18j),(-0.3338191612130178+0j),(0.8257645988237498-8.829374681884586e-18j),0.5477251826338714,0.5235987755982988,5.48796966773308,0.933145837797841
Case2,1.1290098598838318,4.908738521234052,0.6037748396019045,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.6297347423136836-5.551115123125783e-17j),(-0.6485605572380586+0j),(0.42755509343028214-7.464814724588213e-18j),(0.4044571903102322+0j),(0.4359727629616087+0j),(1.6030652905521867+0j),(-0.31441207270360216-1.1895246692412391e-17j),(-0.3787822177880236+0j),(0.7688775266246829-8.634437545127961e-18j),0.4644292516200918,0.610086073353375,5.49147590960492,0.9610438493971498
