Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,1.9880391010997909,0.9326603190344698,0.3067961575771283,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8644834419275954-2.7755575615628914e-17j),(-0.29740184272550674+0j),(-0.40524131400498975+1.3632479557470186e-17j),(0.8832438384844977+0j),(-0.2583227123753425+0j),(-0.38245100736742327-2.40904622412464e-18j),0.040920762510130604,0.15352373219452406,1.9634954084936207,1.2858769460039634,0.9985290273291988
Case1,1.88986433067511,1.030835089459151,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9210720109641984-1.3877787807814457e-17j),(-0.23071652814371485+0j),(-0.31368174039889135-3.7046978520161574e-17j),(0.8857657166498112-9.251858538542971e-19j),(-0.256482300093234+0j),(-0.3778663895695211-4.718241710527102e-18j),0.03659164250720914,0.09275808938111074,1.9585866699723866,1.288509109652579,0.9987294617614149
Case1,2.012582793705961,1.0799224746714913,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8866193923375943-2.7755575615628914e-17j),(-0.1763595622945849+0j),(-0.427555093430282+1.7232139532522533e-17j),(0.8858190713802977-2.6020852139652106e-18j),(-0.2514746289808184+0j),(-0.3809719335608187-3.3463428828365e-18j),0.030018372413201988,0.18179889105743696,1.961961427705735,1.2938802144208885,0.9986504710293755
Case1,1.9389517158874505,1.030835089459151,0.29697868053466014,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9055858498566796+0j),(-0.22447679438381868+0j),(-0.3598950365349883+1.3691601953145487e-17j),(0.886981823055379-2.4490213778496098e-18j),(-0.2498865210633478+0j),(-0.37973211608871105-2.344110833661089e-18j),0.02691403055256525,0.18454674740853244,1.9606079152458358,1.295876305925178,0.9998577151910673
Case1,1.9634954084936207,0.9817477042468103,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.884097590017467+0j),(-0.2681880719170425+0j),(-0.3826834323650897+8.998106029641882e-18j),(0.886821587886606-2.3129646346357427e-18j),(-0.25090327388855305+0j),(-0.3798960781040654-1.7139876745887017e-18j),0.0279270565311891,0.08465347720020829,1.9607683315373794,1.2947871786804932,0.9996359791531144
Case1,1.9634954084936207,0.9817477042468103,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.884097590017467+0j),(-0.2681880719170425+0j),(-0.3826834323650897+8.998106029641882e-18j),(0.886678219577704-2.1912296538654404e-18j),(-0.25181300010057883+0j),(-0.38004278095990873-1.1501932691028815e-18j),0.028833448196273592,0.19120354341368961,1.9609118619034973,1.2938126964089331,0.9996359791531144
Case1,1.8407769454627694,1.030835089459151,0.2969786820247763,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9354648492757189+1.3877787807814457e-17j),(-0.23188320501858806+0j),(-0.2667127574748981+7.240057303081691e-18j),(0.8891175510626047-1.3877787807814458e-18j),(-0.2508165103464793+0j),(-0.37437627978565824-7.30680740493653e-19j),0.031064128131523816,0.16044670205600858,1.954905116081461,1.295512750162683,0.9963800777685344
Case1,2.012582793705961,1.0799224746714913,0.28716120349219204,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8852968155211234+0j),(-0.18288299677657494+0j),(-0.4275550934302818-6.464415419229769e-18j),(0.888935611274915-1.32169407693471e-18j),(-0.24758158112886477+0j),(-0.376908604244926-1.0037157251953727e-18j),0.0254788142423312,0.14379065184515963,1.9576516721588182,1.298920889591302,0.9988145066446976
Case1,1.9880391010997909,1.030835089459151,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8884235837714644-1.3877787807814457e-17j),(-0.2155991957827706+0j),(-0.40524131400498986-1.81858708451056e-18j),(0.8889123372974854-1.8924256101565167e-18j),(-0.24612783634040597+0j),(-0.37819645468856533-1.0407553324369722e-18j),0.022760492987662695,0.13096492511522984,1.9590329189288624,1.3004573268151085,0.9997649872968803
Case1,1.9144080232812801,0.9817477042468103,0.2896155727528091,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8996490082455907+0j),(-0.27773528519814245+0j),(-0.33688985339222005+9.330255894890725e-18j),(0.8893791490778378-1.8101462358018856e-18j),(-0.24750207324726406+0j),(-0.3764005155017677-5.898418008140288e-19j),0.025463857300966092,0.2630537394091781,1.95709270607462,1.2991923681274786,0.9990001156022131
