Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case11,1.88986433067511,2.3071071049800045,(0.7035539739666573+0j),(0.6376641525568506+0j),(-0.3136817403988916+1.0021131751987243e-17j),0.34448380388090183,1.88986433067511,2.3071071049800045,0.9892283704289551,8342
Case11,1.6689710972195777,1.9634954084936207,(0.8114923870034696+0j),(0.5092524297985402+0j),(-0.2058494403642262+2.063732206823539e-18j),0.10532702193442944,1.779417713947344,2.1353012567368124,0.9881803030716056,8393
Case11,1.6444274046134073,2.3071071049800045,(0.7873094200629251+0j),(0.5627480654543757+0j),(-0.1617544814427066+1.031955166617445e-18j),0.033885011725974135,1.734420944169365,2.1925698728178764,0.9940922547832157,8477
Case11,2.1598449493429825,2.2580197197676637,(0.7511657405380264-1.3877787807814457e-17j),(0.5539307335985031+0j),(-0.26020841933693045+6.06450909517664e-18j),0.17533434357261402,1.8407769454627694,2.2089323345553233,0.9522269771313967,8393
Case11,1.88986433067511,2.5034566458293663,(0.7140592477854688-1.1102230246251566e-17j),(0.5956782240798907+0j),(-0.27090308354932263+6.306838612307657e-18j),0.24921394473556147,1.8505944225052375,2.267837196810132,0.9682904840598098,8354
Case11Fin,1.718058482431918,2.1598449493429825,(0.7140592477854688-1.1102230246251566e-17j),(0.5956782240798907+0j),(-0.27090308354932263+6.306838612307657e-18j),0.24921394473556147,1.8505944225052375,2.267837196810132,0.9940879899826958,8330
Case12,2.7979809571034093,0.6872233929727672,(0.21372066049489968-2.7755575615628914e-17j),(-0.2604193783040262+0j),(-0.9415440651830207-1.425763991150652e-17j),0.8267609979295971,2.7979809571034093,0.6872233929727672,0.941970668459865,8558
Case12,2.3316507975861747,0.5399612373357456,(0.29302903665709235-1.3877787807814457e-17j),(-0.4408134110303698+0j),(-0.8155423049600439-6.8954037457550135e-18j),0.441056828818084,2.5648158773447918,0.6135923151542564,0.9981973047416415,8387
Case12,1.7916895602504288,0.14726215563702155,(0.24307443659394834-9.25185853854297e-18j),(-0.6155894832724846+0j),(-0.6167286166923192-5.961583481762399e-18j),0.29294530229552485,2.307107104980004,0.4581489286485114,0.888851490355351,8576
Case12,1.9880391010997909,0.6381360077604268,(0.31845435635365893+6.938893903907228e-18j),(-0.6452671527379026+0j),(-0.5638567910204868-1.5121797197177482e-18j),0.30011487767306455,2.2273401040099507,0.5031456984264903,0.9739982527394427,8402
Case12,1.7916895602504288,0.9326603190344698,(0.411501744948658-5.551115123125783e-18j),(-0.6324587382414696+0j),(-0.49490568084776343-5.392987468455657e-19j),0.26321018475435587,2.1402099952580462,0.5890486225480862,0.9199108590223279,8513
Case12Fin,2.3316507975861747,0.6381360077604268,(0.411501744948658-5.551115123125783e-18j),(-0.6324587382414696+0j),(-0.49490568084776343-5.392987468455657e-19j),0.26321018475435587,2.1402099952580462,0.5890486225480862,0.9920299423597846,8360
Case13,1.7671458676442586,2.356194490192345,(0.6935199226610738+0j),(0.6935199226610737+0j),(-0.19509032201612808+1.4444568264672548e-17j),0.34315406123047454,1.7671458676442586,2.356194490192345,0.9873530883581545,8345
Case13,1.8407769454627694,2.7979809571034093,(0.5091031500849151+0j),(0.8004787787881052+0j),(-0.23090153974551317+7.278336174739904e-18j),0.03645670969860024,1.8039614065535141,2.5770877236478773,0.988910419368944,8474
Case13,1.8162332528565992,1.8653206380689396,(0.6488227777575175+9.25185853854297e-18j),(0.6275142556121767+0j),(-0.23492775313143005+3.5810321967403076e-18j),0.34133175200290194,1.8080520219878757,2.339832028454898,0.8829556358478721,8504
Case13,1.7671458676442586,2.650718801466388,(0.6022018284954016+2.0816681711721685e-17j),(0.6868795403460006+0j),(-0.2249683953526046+3.4750869214152115e-18j),0.22859827604339888,1.7978254834019716,2.4175537217077707,0.998691915109032,8342
Case13,1.8653206380689396,2.1598449493429825,(0.6408948247859068+1.665334536937735e-17j),(0.6558331453385204+0j),(-0.2380316517329761+1.6479041853577834e-18j),0.3081888079064935,1.8113245143353651,2.366011967234813,0.9575320905178201,8480
Case13Fin,1.7916895602504288,2.6016314162540475,(0.6408948247859068+1.665334536937735e-17j),(0.6558331453385204+0j),(-0.2380316517329761+1.6479041853577834e-18j),0.3081888079064935,1.8113245143353651,2.366011967234813,0.9887259921978268,8354
