Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16
Case2,2.012582793705961,6.086835766330224,4.049709280018092,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5904612565892144+0j),(0.684508689900215+0j),(-0.42755509343028175-1.2349317310814434e-17j),(-0.5889358912539466-2.5444254132438475e-18j),(0.690066095944522+2.981346080981344e-18j),(-0.4206700598103048+8.452774844122979e-18j),(-0.5904612565892144+0j),(0.684508689900215+0j),(-0.42755509343028175-1.2349317310814434e-17j),0.013967804999551747
Case2,2.012582793705961,6.086835766330224,4.049709287468673,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5904612616892015+0j),(0.6845086855009358+0j),(-0.4275550934302819+5.214717148226745e-18j),(-0.5977772180051684-2.5411366385779848e-18j),(0.6845011282998672+2.909797904435568e-18j),(-0.4172776090209132+8.413568001715934e-18j),(-0.590461259139208+0j),(0.6845086877005754+0j),(-0.42755509343028186-3.5673000812938445e-18j),0.017601007425670223
Case2,2.012582793705961,6.086835766330224,4.049709280018092,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5904612565892144+0j),(0.684508689900215+0j),(-0.42755509343028175-1.2349317310814434e-17j),(-0.5882790156982316-2.5445965029548935e-18j),(0.6904744671656758+2.986642167482473e-18j),(-0.4209190063199757+8.455624079395629e-18j),(-0.5904612582892101+0j),(0.6845086884337885+0j),(-0.42755509343028175-6.4946391578007075e-18j),0.01478410526674978
Case2,1.9880391010997909,1.9144080232812801,1.9512235696411162,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6055869713075376+0j),(0.6848677957139411+0j),(-0.4052413140049896+2.512191296529552e-18j),(-0.6202835422937167-2.5243319749067482e-18j),(0.6697426313940188+2.725612762728352e-18j),(-0.4082807059523808+8.306198636745753e-18j),(-0.594242686543792+0j),(0.6845984652538267+0j),(-0.4219766485739587-4.242931544218143e-18j),0.032861136868129914
Case2,2.012582793705961,6.086835766330224,4.049709280018092,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5904612565892144+0j),(0.684508689900215+0j),(-0.42755509343028175-1.2349317310814434e-17j),(-0.5859512353104381-2.5451217682627522e-18j),(0.6919160180612084+3.005387501989442e-18j),(-0.42179778779468824+8.465651315778357e-18j),(-0.5934864005528765+0j),(0.6845805101831044+0j),(-0.42309233754522335-5.864208697537402e-18j),0.017674655075363255
Case2,1.9880391010997909,1.9144080232812801,1.9512235696411162,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6055869713075376+0j),(0.6848677957139411+0j),(-0.4052413140049896+2.512191296529552e-18j),(-0.6187420130948008-2.525875633955142e-18j),(0.6707814096708099+2.7383148105994e-18j),(-0.40891395387224744+8.31391546109712e-18j),(-0.59550316234532+0j),(0.6846283911049105+0j),(-0.4201171669551844-4.4681420318595756e-18j),0.030914077312289512
Case2,2.012582793705961,1.8653206380689396,1.938951723338031,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5561627759858985+0j),(0.7126567257028323+0j),(-0.427555093430282-1.7026980930560875e-17j),(-0.564588674521232-2.544121417540222e-18j),(0.7047460901196472+3.1756917960168887e-18j),(-0.4296191069580454+8.552781885412938e-18j),(-0.5898831071511169+0j),(0.6886324389046136+0j),(-0.42117972788019836-6.26226187453119e-18j),0.01840055709972388
Case2,1.9880391010997909,6.135923151542564,4.061981133771758,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6384623852364488-5.551115123125783e-17j),(0.6543280981752913+0j),(-0.40524131400498964-7.305799911118691e-19j),(-0.6264630912116878-2.5175551350777752e-18j),(0.6655360576412527+2.6745769112325546e-18j),(-0.40571634343323626+8.274704235889785e-18j),(-0.5959555169117834-6.938893903907228e-18j),(0.6843443963134483+0j),(-0.4191874261457973-5.570801639103775e-18j),0.02368227328692918
Case2,1.9880391010997909,6.135923151542564,4.061981126321178,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6384623803613245+0j),(0.6543281029322068+0j),(-0.40524131400498975+4.356003025183356e-18j),(-0.6334248288970097-2.5087827219528733e-18j),(0.6607144769202703+2.6168678400688597e-18j),(-0.402777067525905+8.238124759423992e-18j),(-0.6006785017395101-6.1679056923619804e-18j),(0.6810092526044215+0j),(-0.417637858130152-4.467823343071871e-18j),0.013888171931463134
Case2,2.012582793705961,6.086835766330224,4.049709287468673,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5904612616892015+0j),(0.6845086855009358+0j),(-0.4275550934302819+5.214717148226745e-18j),(-0.5906407277085287-2.543934288996537e-18j),(0.6890029612002555+2.9675878685467945e-18j),(-0.4200219639842885+8.445339370107269e-18j),(-0.5996567777344793-5.551115123125783e-18j),(0.681359195894073+0j),(-0.418629581660165-3.49956929394201e-18j),0.012206871865348079
Case2,1.9880391010997909,6.135923151542564,4.061981126321178,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6384623803613245+0j),(0.6543281029322068+0j),(-0.40524131400498975+4.356003025183356e-18j),(-0.6289070394986298-2.514613487134552e-18j),(0.6638534727071863+2.6543428378245025e-18j),(-0.40469062559401847+8.261997246451116e-18j),(-0.6031845597914652-5.046468293750712e-18j),(0.6789018238066306+0j),(-0.4174124664187854-2.7854263558397044e-18j),0.019631399048645526
Case2,1.9880391010997909,1.9144080232812801,1.9512235696411162,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6055869713075376+0j),(0.6848677957139411+0j),(-0.4052413140049896+2.512191296529552e-18j),(-0.6169431950999802-2.5276031714470883e-18j),(0.6719882754979702+2.7531216971258947e-18j),(-0.4096496693677315+8.32285079904339e-18j),(-0.6033847607511378-4.625929269271485e-18j),(0.6793989881322398+0j),(-0.4163982037176357-2.343958218142266e-18j),0.028644108985792616
Case2,1.9880391010997909,6.135923151542564,4.061981126321178,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6384623803613245+0j),(0.6543281029322068+0j),(-0.40524131400498975+4.356003025183356e-18j),(-0.6311000308810101-2.511847013369782e-18j),(0.6623344289219358+2.6361633270989675e-18j),(-0.40376460380603146+8.250471755333508e-18j),(-0.6060830391826907-4.270088556250602e-18j),(0.677470458501468+0j),(-0.4155399814320475-1.8285765840402954e-18j),0.01684538566900179
Case2,1.9880391010997909,6.135923151542564,4.061981133771758,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6384623852364488-5.551115123125783e-17j),(0.6543280981752913+0j),(-0.40524131400498964-7.305799911118691e-19j),(-0.6235665311701885-2.520849309841645e-18j),(0.6675163124443123+2.6985220524512526e-18j),(-0.40692352331258175+8.289579137088774e-18j),(-0.608395849615102-7.93016446160826e-18j),(0.675817432763884+0j),(-0.41480436233011475-1.750148255973979e-18j),0.029766268010833596
Case2,2.012582793705961,1.8653206380689396,1.938951723338031,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5561627759858985+0j),(0.7126567257028323+0j),(-0.427555093430282-1.7026980930560875e-17j),(-0.5660292287982558-2.544514733825159e-18j),(0.7039031279737059+3.1643098786919574e-18j),(-0.42910523018821867+8.547174622722457e-18j),(-0.6049136447064885-7.401486830834377e-18j),(0.6782733856264805+0j),(-0.4156544110701259-2.7686037676131056e-18j),0.020170196752862246
Case2,1.9880391010997909,1.9144080232812801,1.9512235696411162,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6055869713075376+0j),(0.6848677957139411+0j),(-0.4052413140049896+2.512191296529552e-18j),(-0.6203872595006759-2.5242260156364307e-18j),(0.6696725895467789+2.7247577164191505e-18j),(-0.4082380078568784+8.305677449885307e-18j),(-0.604955727619054-6.938893903907228e-18j),(0.6786855362569468+0j),(-0.4150035925035549-2.4385540761041895e-18j),0.03299219782682655
Case2,1.9880391010997909,6.135923151542564,4.061981133771758,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6384623852364488-5.551115123125783e-17j),(0.6543280981752913+0j),(-0.40524131400498964-7.305799911118691e-19j),(-0.6222749350068317-2.5222512117821924e-18j),(0.668394480259566+2.709186394860514e-18j),(-0.40745886175267804+8.296147804127442e-18j),(-0.6069267074789008-9.796085511398439e-18j),(0.6772527457815554+0j),(-0.4144293408271687-2.3380850122811117e-18j),0.03247137042954035
Case2,1.9880391010997909,6.135923151542564,4.061981126321178,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.6384623803613245+0j),(0.6543281029322068+0j),(-0.40524131400498975+4.356003025183356e-18j),(-0.6369073320744036-2.5039381095888267e-18j),(0.6582691616890811+2.587920027473995e-18j),(-0.4012863829224955+8.219378051256662e-18j),(-0.6086786893057021-9.25185853854297e-18j),(0.6759791545121471+0j),(-0.41391889489260314-1.9661912324219746e-18j),0.009451038126289446
Case2,2.012582793705961,6.086835766330224,4.049709280018092,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5904612565892144+0j),(0.684508689900215+0j),(-0.42755509343028175-1.2349317310814434e-17j),(-0.580334637798453-2.5458713022343315e-18j),(0.6953585765854312+3.050470072934327e-18j),(-0.42389640024470737+8.489404075661615e-18j),(-0.607719877057466-8.764918615461762e-18j),(0.6764280774273085+0j),(-0.414636589552481-2.512671552337367e-18j),0.024635198661552116
Case2,2.012582793705961,1.8653206380689396,1.938951723338031,(-0.603574759052013+0j),(0.6807818655053127+0j),(-0.4150103153349454+1.0132051473560872e-17j),(-0.5561627759858985+0j),(0.7126567257028323+0j),(-0.427555093430282-1.7026980930560875e-17j),(-0.5671600178578934-2.544790821143187e-18j),(0.7032392145377492+3.1553646975728936e-18j),(-0.4287005030085265+8.542746680641607e-18j),(-0.6051420220038877-8.326672684688675e-18j),(0.6782395098410847+0j),(-0.41528251474637107-3.238387021248543e-18j),0.021560172068764427
