Case,Theta,Phi,timeErr,init,trace,noise,cost
Case3,2.1598449493429825,4.319689898685965,3.239767424014474,"[(0.9458338740395653+1.1533096168749835e-17j), (-0.269446783950509+4.992661259998722e-18j), (-0.3498422592403039+2.4212852037026823e-17j)]","[(0.7956668099479272+4.163336342344337e-17j), (-0.24136288805413808+0j), (-0.555570233019602-2.7468464304761534e-17j)]","[(0.9040666034348921+1.0431886216078259e-17j), (-0.2621130759230203+5.028385496156156e-18j), (-0.34032037537392734+2.3776652363605925e-17j)]",0.34439983900152177
Case3,2.1598449493429825,4.319689898685965,3.2397674314650544,"[(0.9458338740395653+1.1533096168749835e-17j), (-0.269446783950509+4.992661259998722e-18j), (-0.3498422592403039+2.4212852037026823e-17j)]","[(0.7956668117462208+4.163336342344337e-17j), (-0.24136288212595852+0j), (-0.5555702330196021+1.8944772998528485e-17j)]","[(0.8643316174107812+7.991968184577526e-18j), (-0.23463573333231497+5.039145930855837e-18j), (-0.3046445529762185+2.1982520430604798e-17j)]",0.32631764222806064
Case3,1.7671458676442586,0.39269908169872414,3.2397674314650544,"[(0.9458338740395653+1.1533096168749835e-17j), (-0.269446783950509+4.992661259998722e-18j), (-0.3498422592403039+2.4212852037026823e-17j)]","[(-0.4623389871536223+0j), (0.8649753911027793+0j), (-0.1950903220161282-6.437825128388305e-18j)]","[(0.8855142852426111+7.852440715700395e-18j), (-0.229779895074887+5.021889518490344e-18j), (-0.2983398667536651+2.1640584440423164e-17j)]",0.3274439173095644
Case3,1.7671458676442586,0.39269908169872414,3.2397674314650544,"[(0.9458338740395653+1.1533096168749835e-17j), (-0.269446783950509+4.992661259998722e-18j), (-0.3498422592403039+2.4212852037026823e-17j)]","[(-0.4623389871536223+0j), (0.8649753911027793+0j), (-0.1950903220161282-6.437825128388305e-18j)]","[(0.9456854076085087+1.0373189189420532e-17j), (-0.25555847331737525+5.0482802238508776e-18j), (-0.33181006045993516+2.3371167891366345e-17j)]",0.3265215668924251
Case3,1.7671458676442586,0.39269908169872414,3.2397674314650544,"[(0.9458338740395653+1.1533096168749835e-17j), (-0.269446783950509+4.992661259998722e-18j), (-0.3498422592403039+2.4212852037026823e-17j)]","[(-0.4623389871536223+0j), (0.8649753911027793+0j), (-0.1950903220161282-6.437825128388305e-18j)]","[(0.9458338740395653+1.1533096168749835e-17j), (-0.269446783950509+4.992661259998722e-18j), (-0.3498422592403039+2.4212852037026823e-17j)]",0.35829360987487097
Case4,0.39269908169872414,5.497787143782138,2.9452431201910114,"[(0.39910159627342884-1.6374514986578733e-18j), (0.2359243587474619-9.679607859454938e-19j), (0.8783106875317355+1.0677182841072227e-18j)]","[(0.3181896435591591+0j), (0.21260752606251146+0j), (0.9238795325112866-2.5912640674708514e-17j)]","[(0.3929473455542579-1.5952723725792163e-18j), (0.2346824078822244-9.527545251560556e-19j), (0.8736870923925196+1.099738330605339e-18j)]",0.147025024720227
Case4,0.39269908169872414,5.497787143782138,2.9452431201910114,"[(0.39910159627342884-1.6374514986578733e-18j), (0.2359243587474619-9.679607859454938e-19j), (0.8783106875317355+1.0677182841072227e-18j)]","[(0.3181896435591591+0j), (0.21260752606251146+0j), (0.9238795325112866-2.5912640674708514e-17j)]","[(0.40513399155692803-1.6628871509964666e-18j), (0.2359730144642169-9.685597898771017e-19j), (0.878491825402629+1.0664516637280842e-18j)]",0.1556975442947802
Case4,0.39269908169872414,5.497787143782138,2.9452431201910114,"[(0.39910159627342884-1.6374514986578733e-18j), (0.2359243587474619-9.679607859454938e-19j), (0.8783106875317355+1.0677182841072227e-18j)]","[(0.3181896435591591+0j), (0.21260752606251146+0j), (0.9238795325112866-2.5912640674708514e-17j)]","[(0.4058571085532365-1.6840724790579394e-18j), (0.23725976944144633-9.844909444318896e-19j), (0.8832822194710305+1.0326200664789785e-18j)]",0.15291702219991665
Case4,0.39269908169872414,5.497787143782138,2.9452431201910114,"[(0.39910159627342884-1.6374514986578733e-18j), (0.2359243587474619-9.679607859454938e-19j), (0.8783106875317355+1.0677182841072227e-18j)]","[(0.3181896435591591+0j), (0.21260752606251146+0j), (0.9238795325112866-2.5912640674708514e-17j)]","[(0.39109762157191447-1.6727338264807772e-18j), (0.24088021241074817-1.030250395821554e-18j), (0.8967605808001408+9.339491324794275e-19j)]",0.1282996168587862
Case4,0.39269908169872414,5.497787143782138,2.9452431201910114,"[(0.39910159627342884-1.6374514986578733e-18j), (0.2359243587474619-9.679607859454938e-19j), (0.8783106875317355+1.0677182841072227e-18j)]","[(0.3181896435591591+0j), (0.21260752606251146+0j), (0.9238795325112866-2.5912640674708514e-17j)]","[(0.39910159627342884-1.6374514986578733e-18j), (0.2359243587474619-9.679607859454938e-19j), (0.8783106875317355+1.0677182841072227e-18j)]",0.14979763116541958
