Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,1.6935147898257479,2.2089323345553233,1.9512235696411162,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8449526097104125-5.551115123125783e-17j),(0.520644517824624+0j),(-0.12241067519921622-6.536195159096837e-18j),(-0.8497803746523604-7.510701275887185e-19j),(0.5194119336670459+4.590771909153638e-19j),(-0.08991417029564598+9.750352174364392e-18j),(-0.8209471445300877-3.027880976250427e-17j),(0.5618938965291863+0j),(-0.09356048240408231-4.463477026179055e-18j),0.02565074771802818,0.03855686417758751
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8313278066744522-8.167870423071326e-19j),(0.5476376441322025+5.380589077082943e-19j),(-0.09480025621893655+1.0270848749336223e-17j),(-0.8221976744404238-2.7755575615628914e-17j),(0.5603900218612029+0j),(-0.09189415583704771-3.0895753241849216e-18j),0.02456266970674323,0.02965162273743975
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8291832065135676-8.240721146710408e-19j),(0.5507853596857145+5.47390314372738e-19j),(-0.09534514980719623+1.0328803632099244e-17j),(-0.8232558151337855-2.5620531337503614e-17j),(0.5591175125267555+0j),(-0.09048418720340308-1.9270431148052707e-18j),0.023641988312578674,0.03548883204009602
Case1,1.6689710972195777,2.1598449493429825,1.9144080307318607,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.7993398720945492-5.551115123125783e-17j),(0.5928308435645744+0j),(-0.09801714032956071-1.5993635450831752e-17j),(-0.8121872236888571-8.792478203176004e-19j),(0.5748474390352182+6.223113871346713e-19j),(-0.09951047940411975+1.0771206808703971e-17j),(-0.8215475334881257-2.7755575615628914e-17j),(0.5615256076008853+0j),(-0.0910222552838429-2.9317997102357333e-18j),0.027220296951928555,0.03232410557070334
Case1,1.6935147898257479,2.2089323345553233,1.9512235621905356,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8449526058313086+0j),(0.5206445241200114+0j),(-0.12241067519921611-1.0687248465716171e-17j),(-0.8486168499079617-7.553757635014869e-19j),(0.5212555896991559+4.639830555934894e-19j),(-0.09023332122709916+9.784393948563927e-18j),(-0.8231078716443379-2.590520390792032e-17j),(0.5588002020354939+0j),(-0.09311481661153446-3.448829627267763e-18j),0.020841991902633375,0.036452663627914536
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8289283848995639-8.249328863219886e-19j),(0.5511576381321701+5.485010159205377e-19j),(-0.09540959404781213+1.0335656695731367e-17j),(-0.8239107236324494-2.42861286636753e-17j),(0.5578656519403621+0j),(-0.09189292579829277-2.4818188132041188e-18j),0.02032648063263172,0.036180376341171216
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8260463185599368-8.345968934723215e-19j),(0.5553428814906037+5.610913495892488e-19j),(-0.09613409161836689+1.0412682549376348e-17j),(-0.8246191224454892-2.2857532859929692e-17j),(0.5570410489152459+0j),(-0.09081478684543244-1.6285739772656093e-18j),0.019871617747336076,0.043972183609786664
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8350939693388687-8.0381692012587255e-19j),(0.5420457275119711+5.217443105247211e-19j),(-0.09383225276988057+1.0167846435096069e-17j),(-0.8252488102793022-2.158766992326693e-17j),(0.5563080684484758+0j),(-0.08985644110955661-8.701341230980454e-19j),0.019467295182628838,0.022928898463242156
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.835570426415449-8.021599836851116e-19j),(0.5413323655395303+5.196870877446649e-19j),(-0.09370876436748743+1.015470224789884e-17j),(-0.8258122151832402-2.0451476769410777e-17j),(0.5556522438203131+0j),(-0.088998973872194-1.9153004305338284e-19j),0.0191055328878907,0.023042314956709498
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8255105470776066-8.363789692441509e-19j),(0.5561158410841565+5.634374940367471e-19j),(-0.09626789682387242+1.0426904601395874e-17j),(-0.8263192795967845-1.942890293094024e-17j),(0.5550620016549668+0j),(-0.08822725335856768+4.192136289868134e-19j),0.018779946822626403,0.04541471989117511
