Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9554350746041325-1.0206995288067516e-19j),(0.04931734609807608-5.2686146094398386e-21j),(-0.2910526027886345-3.3595661471046493e-19j),0.04064923064662435
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9590259500744827-9.437122426212532e-20j),(0.04733211883487386-4.657632049498279e-21j),(-0.27933653110600787-3.247871241262847e-19j),0.027327510756849763
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9476871441019186-1.183730304341317e-19j),(0.05332676265311351-6.660901266601812e-21j),(-0.31471468553101883-3.5758040099663517e-19j),0.020607833915201927
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9531775714628945-1.0686355753606745e-19j),(0.050521849136680216-5.664153976850384e-21j),(-0.2981611309676524-3.4258694099836e-19j),0.03538576893455254
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9521767626586444-1.0897724850668916e-19j),(0.051045852477492236-5.8422309478998945e-21j),(-0.3012536034601904-3.4543595213593334e-19j),0.0318164909785764
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9522814235964815-1.0875653497977559e-19j),(0.05099133190481415-5.8235311899995335e-21j),(-0.300931843352663-3.4514053551325316e-19j),0.03218839145126287
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9557570175988903-1.0138341987104737e-19j),(0.04914293059748835-5.212913193120652e-21j),(-0.29002326748515345-3.349872363125554e-19j),0.03947236784897319
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9491595945590297-1.1530703281440363e-19j),(0.05259077953914797-6.3889010623897416e-21j),(-0.31037118739342323-3.5370800596911305e-19j),0.021226666007384605
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9529922912451259-1.0725539563966404e-19j),(0.05061930894224372-5.6969967726740534e-21j),(-0.2987363024300446-3.431184708551711e-19j),0.034722777059955176
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9535909334713779-1.0598849529353486e-19j),(0.05030366614639143-5.591087011697543e-21j),(-0.2968734962461596-3.4139430302859706e-19j),0.03686858267423995
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.21871766398487702-1.7207228211939548e-19j),(-0.2716216511108696-2.1369356515675503e-19j),(0.9372215651108351-1.0208796952941634e-19j),0.021810622389554724
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.19246969173071685-1.5313853222056656e-19j),(-0.27315673917870675-2.173371907433017e-19j),(0.9425183359523246-9.425985789923303e-20j),0.0233406861448556
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.20680756543190842-1.6356823145415888e-19j),(-0.27234356798992443-2.1540196399968973e-19j),(0.9397125155358125-9.842423680396902e-20j),0.009046920132786018
Case2,0.36815538909255385,3.5833791205008576,1.9757672622472864,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.2384001484684129+0j),(-0.2696104718529292+0j),(0.9329927988347388+7.788410237631514e-18j),(-0.22305122520234322-1.7512880928669413e-19j),(-0.27134845041162753-2.130494059347524e-19j),(0.9362788950921312-1.0346630918301854e-19j),0.020373001867134366
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.20119908097957212-1.5951278158357966e-19j),(-0.27266889789061116-2.1617481621735855e-19j),(0.9408350556479573-9.676294840662121e-20j),0.013858194373664201
Case2,0.36815538909255385,3.5833791205008576,1.9757672622472864,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.2384001484684129+0j),(-0.2696104718529292+0j),(0.9329927988347388+7.788410237631514e-18j),(-0.2244522991580097-1.7611258538824188e-19j),(-0.27125891610122327-2.128385817539256e-19j),(0.9359699599016374-1.0391705060957859e-19j),0.018573458410569815
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.2100315001207265-1.6588489152824415e-19j),(-0.272152328447378-2.1494851704483563e-19j),(0.9390526497900465-9.939782614528897e-20j),0.011824051182701162
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.2115670396868648-1.669845072815165e-19j),(-0.2720601542703454-2.1473019086057343e-19j),(0.9387346058266586-9.986629463669685e-20j),0.013585460535194827
Case2,0.36815538909255385,3.5833791205008576,1.9757672622472864,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.2384001484684129+0j),(-0.2696104718529292+0j),(0.9329927988347388+7.788410237631514e-18j),(-0.2256175311064869-1.7692909985622242e-19j),(-0.27118400332379566-2.1266229343162277e-19j),(0.9357114758293245-1.0429381417254465e-19j),0.017074829612352016
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.20092658592453436-1.5931493631226537e-19j),(-0.272684466867756-2.1621184808613206e-19j),(0.9408887758910498-9.668328616176519e-20j),0.014092538162754326
