Al,Ap,tau,N,x,z,6
1.4895003001574423,1.8212725929322526,1.345,9.0,1.3557540554114254,1.0660670251265933,0.07227600753989061
1.7367058955081867,0.46290223807167363,3.9450000000000003,13.0,3.941944727262794,0.9394494433679639,0.09214699991248954
1.9107319775204017,0.6821401306759487,2.995,13.0,3.001311756813766,1.2641364724233157,0.06347309389521118
1.7267040865440635,1.589411800263821,4.785,13.0,4.778971804733996,2.042439490288354,0.09865991605289147
0.6557703259348976,0.46172362434498765,0.515,15.0,0.5278506029001958,0.07893218551920055,0.02239434724911539
2.170170436074465,1.1030517360649084,0.41500000000000004,15.0,0.4019424386814568,0.2866368913951666,0.04941192895678909
2.451433681705214,1.0936220080741001,0.4,15.0,0.38780411565625006,0.27511837781060006,0.04672281950756747
1.9603818172752483,1.2030481309737262,3.81,9.0,3.7975062195922606,2.354248792941637,0.022671562792694694
4.112552791949783,1.1980070873337187,2.955,13.0,2.9484696285404177,0.1575434591252898,0.005905226818745843
3.8255408586155912,1.0857622632355453,1.695,9.0,1.6898303492286002,1.0493195478638258,0.02443105379067679
3.8027242882232595,1.6469923260636394,0.34,15.0,0.3483500567582357,0.114123958885861,0.05811420512069643
2.1522565366641433,0.6796269871685223,2.9,13.0,2.8934889813741913,1.240802645532746,0.052068009512271904
0.7641846166996736,0.7013981917380824,0.505,9.0,0.49610682233168385,0.225468413655303,0.03180489148828737
1.8586859266782376,0.6347283567891995,3.015,13.0,3.014461866430717,2.4120000000000004,0.055165183086560654
1.1534720396986604,0.9171615422798749,4.28,13.0,4.265661484901851,0.23336736864498658,0.07327182766216836
2.9341881389905495,1.0651995177157934,4.12,9.0,4.113294316791219,0.20905727584820843,0.029679138820077187
2.0483845424066245,0.9262474632651102,2.935,9.0,2.930291523089856,1.2519791921728727,0.08036875173503218
1.0774500857434042,1.3065992497826653,1.435,11.0,1.4522280874048172,0.1401606670140453,0.027268947095421436
3.571489922873721,0.8804554862457371,1.745,13.0,1.738019037125606,0.7504125086122465,0.03791423513610293
0.37679131882103106,0.4813311827584856,0.54,15.0,0.5549262129076451,0.18738085917276623,0.0231777657317949
4.537496112287313,1.2633326488213825,2.83,13.0,2.8227239211685164,0.15076152093635928,0.019909113714147615
0.9243490477892037,1.0942767825971194,1.475,9.0,1.491500894451875,1.165514928608659,0.04044368531486653
0.9208291879437926,0.9398763769046952,1.475,13.0,1.4623879998857123,0.09034390284102074,0.03353574891845875
0.5636963716378415,1.3899120133397782,3.625,9.0,3.6152862365981075,0.8639647833342109,0.005200634806658149
0.7346596465423798,0.38275969814792166,0.51,15.0,0.51,0.19540431154556062,0.022356432774809882
0.7769084970290171,0.8723151825052109,1.51,13.0,1.4967273261423182,0.09327902588136783,0.026299039989178014
1.7547201486448716,0.6409218054216119,3.93,13.0,3.9234056097691603,0.2048709427337683,0.010927291497371034
2.0019977868475287,1.6403301970249353,2.095,9.0,2.083961690714702,0.5124547897871735,0.09768142197344856
0.42364352685839746,0.34782087096870473,0.54,13.0,0.5383109896710969,0.23601972085850095,0.03362359071500802
4.7555488734326845,1.8672546666573042,1.5350000000000001,15.0,1.5419182250443735,0.16547967513636302,0.01075464414686911
2.21927924925422,0.9142011392808801,2.87,9.0,2.865398945645149,1.2242058796178426,0.07171693222549164
1.2479665194678031,0.9572048317327913,4.22,17.0,4.209743193112026,0.2366420172199324,0.07080300679074372
2.3862765440051135,1.410021011400047,2.0,9.0,1.986059211927968,0.4928751616704465,0.0685203177005848
1.0685291391698004,0.44550231077709,0.485,13.0,0.4843428637879685,0.027066556811299835,0.028494623968365135
4.064817579726608,0.7534293816564437,1.655,13.0,1.649916819734432,0.7099765837533005,0.051631412596418416
4.091500082638712,0.8762457342165337,2.97,13.0,2.970437438261691,2.3734684645919533,0.02534318753126625
3.8986995406035674,1.7285792781121065,0.335,9.0,0.3273684851968798,0.15076377965569787,0.05904590566097154
4.838970939818061,0.603474178242338,3.975,17.0,3.975,1.689375,0.07983955743554179
3.1670001312830562,1.350069668483257,0.365,9.0,0.35790412757056034,0.16069482560106285,0.047948444610969934
1.3803545375683433,0.7595145029771103,4.1450000000000005,9.0,4.14159984572244,3.3160000000000007,0.052551699897847234
3.562168461879722,1.5886431157431564,3.13,13.0,3.1197746406004,0.16911077608036854,0.034033932402981554
2.8251913166556646,1.2999837050103857,0.38,9.0,0.3712597862841526,0.16935556963774615,0.04842116657983179
4.412988408308172,1.2017396056891825,4.14,9.0,4.136969394601831,0.9864593238514078,0.03262801630387831
1.4799564710748503,0.8692895994096083,0.455,9.0,0.444887632619561,0.20148857807524667,0.03663479538754101
0.3400853615935484,0.7749325657018437,3.8000000000000003,9.0,3.7837016678026685,2.3560624814719784,0.009609871332585307
3.3594038055255426,1.6944774509793816,3.2,9.0,3.192252497864629,1.971555474979893,0.014400950726538487
1.423536464927266,1.301504654222512,3.19,9.0,3.1759141383521183,1.3220409580887371,0.02347658818437489
0.34748083861428886,0.8517118599813208,3.79,9.0,3.7732285179202028,0.8497894746795654,0.01370720310580861
2.2648724098875848,1.5454298521361884,2.025,9.0,2.0134941667371438,0.5010056166838553,0.08606356911474482
3.4512851361858656,1.1259669745157508,1.7650000000000001,9.0,1.7574419144372075,1.0970401236737917,0.025425044085884634
1.6541297268873478,0.6000158882144246,3.99,13.0,3.9956383428599174,2.437290504147958,0.036893947527602805
2.5508082497088216,1.485024911601333,4.305,9.0,4.31519495586742,2.6285067413852934,0.08962604617388036
3.9441783226117257,1.2715624755282064,1.67,9.0,1.6624824408271304,0.4100132691154397,0.019135058203474286
0.9190087085654386,0.3348683727354527,0.495,15.0,0.4959605612579351,0.18885658146817147,0.062225111554940184
2.5255449279698183,0.7743511723927874,2.7600000000000002,13.0,2.7613960397521846,2.208,0.0772452962870881
1.8511073152222932,1.6717635750980153,2.1350000000000002,9.0,2.1286320371767418,0.5169224080062844,0.09765984884469071
3.7798128541558076,1.3370566821223862,1.7,9.0,1.6892278414087067,0.4202202575361097,0.017512111183359352
3.9689170831251595,1.1383642663236937,3.005,13.0,3.0119513998963456,2.3930622264356987,0.012806878250089278
4.165647593980878,1.5131688698677335,4.24,9.0,4.233138556914474,1.8121780214035603,0.048388151484830694
4.702977412106603,1.814283430969688,0.31,9.0,0.3053370212146853,0.13356286611714363,0.056717444727934746
4.136767157725955,1.758262229388054,0.325,9.0,0.32020230151826196,0.14565993828403115,0.0572921568822112
1.4520370574246269,1.414906914576825,1.355,13.0,1.3447566176482817,0.08108028353514991,0.06392394727662484
2.5115052373365554,1.1234428035919155,0.395,9.0,0.38834554663871157,0.17314067270770475,0.04268856166899362
0.3890856610053907,0.3371600382069878,0.54,15.0,0.54,0.20751386301951116,0.01851528437119027
0.40082396551668487,0.5426848396321708,0.54,15.0,0.5532474975088743,0.18412180938509404,0.026045787913738662
4.9227299693654825,1.2542622437015518,3.935,9.0,3.934586374384289,0.9363360960651954,0.027941123393117395
2.613825760086685,1.6519404007026612,4.265,13.0,4.276430861022112,1.7910863720412218,0.06588120116534397
0.7116261237429339,0.8352383910294797,1.53,9.0,1.5439929600581894,1.2131386576043965,0.035448014730443136
3.311894518221214,1.8078482584966615,3.215,9.0,3.2149464524272835,1.969053631068209,0.07768132535036495
2.442665699913777,0.7187636720996085,2.79,13.0,2.79087018822072,2.2319999999997346,0.05607113233861376
0.9952646720371706,0.3840509147635806,0.49,13.0,0.4902611108711751,0.027079081616530064,0.08410857893140761
