Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case4,2.405281875404685,3.730641276137879,(-0.3637964256562867+0j),(0.574909758400554+0j),(-0.7325991041532129-6.470313004914032e-18j),0.12183197561327286,2.3930100291016,3.706097583531709,0.9985862726892138,8351
Case4,2.2334760271614935,3.485204350076177,(-0.33105958791266044+0j),(0.6306941390137251+0j),(-0.6934765996290175-4.540368009908909e-18j),0.18400202300701302,2.339832028454898,3.6324665057131984,0.9842546480796516,8396
Case4,2.086213871524472,4.172427743048944,(-0.4348693173002438-6.938893903907228e-18j),(0.5848491317142468+0j),(-0.6433319977792091-1.9057440342443848e-18j),0.2921113469449265,2.276427489222291,3.767456815047135,0.9289108813604436,8372
Case4,2.405281875404685,3.5342917352885173,(-0.39929435101546895-1.665334536937735e-17j),(0.5919672200229638+0j),(-0.6628558232943591-3.1714192269091163e-18j),0.24413064345371865,2.30219836645877,3.720823799095411,0.9979676815126166,8366
Case4Fin,2.454369260617026,3.6324665057131984,(-0.39929435101546895-1.665334536937735e-17j),(0.5919672200229638+0j),(-0.6628558232943591-3.1714192269091163e-18j),0.24413064345371865,2.30219836645877,3.720823799095411,0.9933590131124171,8390
Case5,1.9389517158874505,5.64504929941916,(-0.5557831613623027+0j),(-0.7493868428412688+0j),(-0.3598950365349881-1.2662800197361992e-17j),0.1077519908895121,1.9389517158874505,5.64504929941916,0.9989011333107354,8336
Case5,2.0371264863121317,5.64504929941916,(-0.5439381281701055+0j),(-0.7334156644315213+0j),(-0.40475318309479746-2.687869627588583e-18j),0.15673628266687173,1.988039101099791,5.64504929941916,0.9956134663693758,8336
Case5,1.88986433067511,5.252350217720435,(-0.6341045809454545+0j),(-0.6516621240649064+0j),(-0.3743960355294954-6.357843035420117e-18j),0.2982991282435336,1.9553141776248975,5.514149605519584,0.9532820699661617,8480
Case5,1.9634954084936207,5.890486225480862,(-0.5639667833574096+0j),(-0.7021349406969982+0j),(-0.37646788473839404-6.999531822704616e-18j),0.1797603632322955,1.9573594853420784,5.608233760509904,0.9927071674781113,8405
Case5,1.8407769454627694,5.743224069843841,(-0.5502694107285642-1.1102230246251566e-17j),(-0.7270396136108492+0j),(-0.3545168592856949-5.0668607620459945e-18j),0.11920729223689991,1.9340429773662167,5.635231822376691,0.9982200743421037,8357
Case5Fin,1.9144080232812801,5.6941366846315,(-0.5502694107285642-1.1102230246251566e-17j),(-0.7270396136108492+0j),(-0.3545168592856949-5.0668607620459945e-18j),0.11920729223689991,1.9340429773662167,5.635231822376691,0.9986258230610632,8339
Case1,0.44178646691106466,2.945243112740431,(0.08341186085694968+0j),(0.41933974219784853+0j),(0.9039892931234433+4.824418440484088e-18j),0.2244966952885567,0.44178646691106466,2.945243112740431,0.994179496798413,8486
Case1,0.7853981633974483,3.043417883165112,(0.07636022272824779+2.7755575615628914e-17j),(0.5615208054805199+0j),(0.8055480371549955+4.173064475054342e-18j),0.05834332679909164,0.6135923151542565,2.994330497952771,0.9902176946298921,8432
Case1,0.7853981633974483,2.945243112740431,(0.09689004503265577+3.700743415417188e-17j),(0.605520511207371+0j),(0.7727342851655128+1.2025675989091615e-18j),0.11462696221101751,0.6708609312353205,2.9779680362153242,0.9908798836252336,8465
Case1,0.4908738521234052,2.945243112740431,(0.09565876907067586+2.7755575615628914e-17j),(0.5697251285827918+0j),(0.8000310299612233+3.7137141428153843e-19j),0.05276611075270762,0.6258641614573417,2.969786805346601,0.9973111229922846,8453
Case1,0.3190680038802134,2.6998061866787286,(0.10335026042126501+2.2204460492503132e-17j),(0.5124930898200185+0j),(0.8299304600875861+1.9433739243065436e-18j),0.04205684948701756,0.564504929941916,2.9157906816130263,0.9782137042000892,8516
