Al,Ap,cost,Xtau,XN,Ztau,ZN,xx,yy,zz,fev
1.1573379161956834,1.2587491492865694,0.005063092188645979,1.42,7.0,0.26625,4.0,-0.013273423365737664,0.036046398872714845,-0.989873815622704,67719
4.809637321993441,0.4756409417209651,0.002308667401838771,3.99,25.0,1.2468750000000002,19.0,-0.007917959750347309,0.010652643256437427,-0.9953826651962737,71726
3.0680887019419316,0.3684030984599584,0.005188653823419265,4.065,25.0,2.032499985098839,1.0,-0.00830315778777837,-9.393785430994016e-05,-0.9896226923531266,41232
2.729390277391528,1.5275114961085892,0.0029575173834380797,2.691654876485889,7.0,0.7636161770386425,1.0,0.015418136914055428,-0.049512925182269206,-0.9940849652331134,62535
4.695022001031206,1.6269338344886912,0.004770772323664518,1.545,25.0,0.38625,1.0,-0.024131712709669278,0.03573266523483212,-0.9904584553526917,62868
0.45747014309965867,1.7286531352627905,0.007902845969399941,0.529875,3.0,0.185625,15.0,-0.07623725141184337,-0.0036751194425305987,-0.9841943080612252,108194
3.1982055018759428,1.4104938783261614,0.0059642600347017405,0.37184375,9.0,0.07984374999999999,18.0,-0.046924558243439995,0.0006376536637344803,-0.98807147993061,82059
4.414411566044967,1.1213127356248378,0.002808925887432756,2.87,10.0,0.8968750000000001,10.0,-0.018211331930759952,-0.011909498904975982,-0.9943821482251511,42920
3.7761532195844874,0.4525829929952945,0.0025074047132374044,1.705,22.0,0.213125,7.0,-0.005706551541718211,0.00561918417266395,-0.9949851905735563,35332
3.2321809554040093,0.7963572413443242,0.0076458680608635365,3.985,13.0,1.2453125,19.0,-0.01793804393000105,-0.01723714904433766,-0.9847082638782662,45291
2.877153763693673,1.6842223678002466,0.007793810264142387,4.885,25.0,2.1371875,25.0,-0.06870896401901591,-0.029861281191124973,-0.984412379471717,74612
1.7793472726631931,1.0039001457732049,0.00932107438129326,0.4268437499999501,9.0,0.06796875000001458,3.0,-0.040751327703920995,-0.0033709173097698913,-0.9813578512374032,90610
4.006465924688862,0.42802463984915073,0.0009657374983887967,1.665,25.0,0.41625,1.0,-0.005611414038646598,0.007798538969692065,-0.9980685250032174,45324
2.1571365139992897,1.1604944480014592,0.009281564199967396,0.41500000000000004,7.0,0.025937500000000002,19.0,-0.0416420118576444,-0.003303024065108247,-0.981436871600048,82806
2.6807234165493155,0.4806817269658249,0.006795307035994735,2.71,19.0,1.0162499999999999,7.0,-0.02276955679055437,-0.023254109118465642,-0.9864093859279841,47166
2.944674036923255,0.38386786742933016,0.0004622113790123672,4.125,25.0,2.062499985098839,1.0,-0.010672288531746527,-0.0005288055359771344,-0.9990755772419473,41664
4.122968008492027,0.4140576123910781,0.00581370658720648,2.96,25.0,0.185,13.0,-0.004887319300030148,0.005444961291972292,-0.9883725868255689,30362
4.250506784583182,0.8944511221495198,0.007859717568323044,2.92,13.0,1.095,19.0,-0.011532400203340192,-0.008190835739222033,-0.9842805648633466,42413
0.508721884756523,0.6216225887402277,0.007241478264921386,0.53,25.0,0.1325,1.0,-0.027065988042935148,-0.001081895740699397,-0.9855170434701405,75406
3.2242151282184808,1.5610824287119764,0.00712643551275427,0.36,7.0,0.11249999999999999,1.0,-0.051399384474928436,-0.006521108214477416,-0.9857471289744921,95733
2.6070227449031136,0.9909391244271781,0.008121339694244556,2.73,10.0,0.170625,19.0,-0.033101553733381056,-0.0022908022793725995,-0.9837573206115299,51636
2.7528475525816223,0.4431392742124486,0.0020191369229456413,4.225,22.0,0.2640625,25.0,-0.01447058070701263,-0.0003064972643982526,-0.9959617261540827,41326
2.824393306993737,1.2023876486518688,0.004650880223237341,0.38,25.0,0.095,1.0,-0.04069927245818055,-0.004396679599164991,-0.9906982395535485,75035
2.984200552179697,0.45424451879726885,0.009699121690976642,4.105,22.0,0.513125,4.0,-0.0040590917635295945,0.007630699769294895,-0.9806017566180679,40772
0.5784956825096096,0.8920637162183768,0.004001543755502435,2.6049999999999995,25.0,0.1628125,4.0,-0.0571347330670147,-0.020096505569781584,-0.9919969124889914,46960
4.938967563218362,0.7635968720076759,0.003883601959142502,3.9349999999999996,16.0,0.2459375,19.0,-0.002198899727749946,0.014729576742510764,-0.9922327960817178,68288
