fun,nit,nfev,status,success,message,x,final_simplex
7.227971192957894e-07,50,97,0,True,Optimization terminated successfully.,[1.570797   1.57079627],"(array([[1.570797  , 1.57079627],
       [1.57079563, 1.5707964 ],
       [1.57079638, 1.57079557]]), array([7.22797119e-07, 7.68917709e-07, 8.18197754e-07]))"
2.4764459657934005e-07,53,103,0,True,Optimization terminated successfully.,[1.57079615 1.57079626],"(array([[1.57079615, 1.57079626],
       [1.57079635, 1.57079595],
       [1.57079662, 1.57079619]]), array([2.47644597e-07, 3.97568660e-07, 4.34698808e-07]))"
4.009137721811624e-08,60,116,0,True,Optimization terminated successfully.,[1.57079632 1.57079636],"(array([[1.57079632, 1.57079636],
       [1.57079636, 1.57079638],
       [1.57079632, 1.57079625]]), array([4.00913772e-08, 8.49340620e-08, 8.94894022e-08]))"
1.8002965007656736e-08,64,124,0,True,Optimization terminated successfully.,[1.57079632 1.57079634],"(array([[1.57079632, 1.57079634],
       [1.57079633, 1.57079631],
       [1.57079631, 1.57079632]]), array([1.80029650e-08, 1.83859228e-08, 1.99115628e-08]))"
3.993750664731195e-09,68,132,0,True,Optimization terminated successfully.,[1.57079633 1.57079632],"(array([[1.57079633, 1.57079632],
       [1.57079633, 1.57079632],
       [1.57079632, 1.57079633]]), array([3.99375066e-09, 5.97055869e-09, 6.25184216e-09]))"
4.429709671906588e-10,74,143,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([4.42970967e-10, 1.06291176e-09, 1.20418897e-09]))"
1.0523426574593486e-10,78,151,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([1.05234266e-10, 2.29271491e-10, 3.88262644e-10]))"
3.147671012726505e-11,83,161,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([3.14767101e-11, 4.02917699e-11, 6.90353330e-11]))"
6.223219803525398e-12,86,167,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([6.22321980e-12, 1.92321714e-11, 3.05308868e-11]))"
2.82507350846154e-12,90,174,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([2.82507351e-12, 6.22321980e-12, 6.70006059e-12]))"
8.391065620116933e-13,95,184,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([8.39106562e-13, 9.36226738e-13, 1.34159350e-12]))"
2.27706742350619e-13,99,192,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([2.27706742e-13, 2.67119660e-13, 3.60045327e-13]))"
5.445645994804222e-14,103,200,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([5.44564599e-14, 7.81597009e-14, 1.09023901e-13]))"
7.993605777301124e-15,108,209,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([7.99360578e-15, 1.55187836e-14, 3.15303339e-14]))"
1.1102230246251565e-15,112,217,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([1.11022302e-15, 5.77315973e-15, 6.66133815e-15]))"
9.748620140475523e-16,116,225,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([9.74862014e-16, 1.11022302e-15, 1.72161608e-15]))"
4.440892098500626e-16,121,234,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([4.44089210e-16, 4.44089210e-16, 6.66133815e-16]))"
4.440892098500626e-16,124,244,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079633, 1.57079633]]), array([4.4408921e-16, 4.4408921e-16, 4.4408921e-16]))"
